num of shots,depolarization error,mean RAV,STDEV RAV,Ratio RAV,mean XEB,STDEV XEB,Ratio XEB
100,0.0001,4.798536597626968e-05,1.4024021017873323e-05,0.2922562062944077,9.531222965383002e-05,4.818990906201488e-05,0.5056004799912728
100,0.00015587755020547784,7.78884950212555e-05,1.630153115436932e-05,0.2092931844416905,9.49719378627889e-05,4.57867910542898e-05,0.48210863213553096
100,0.00024297810658061288,0.00011935262061875785,1.5979400563362008e-05,0.13388395227955835,0.00011733768084726259,5.054055065685058e-05,0.4307273698603159
100,0.0003787483200735143,0.000190291464888096,1.9347792533205607e-05,0.10167451569403489,0.0001426686732579263,4.786791834447095e-05,0.3355180731086776
100,0.0005903836027749967,0.000289791122128924,2.199648014555016e-05,0.07590460323268369,0.00019543063840026575,6.756976235616781e-05,0.34574805112070867
100,0.0009202754968205042,0.0004409332229142271,2.462083917096863e-05,0.055838022384078825,0.0002819372272097409,6.885817932827257e-05,0.24423230663699144
100,0.0014345028995850922,0.0006839638623923927,3.154559750238965e-05,0.0461217313324835,0.00044241478030923045,8.2020534467571e-05,0.18539284426763925
100,0.0022360679774997894,0.00104483261046029,3.3008837844358427e-05,0.03159246516034442,0.0006943475824619804,8.687481582256227e-05,0.12511718628662347
100,0.003485527984255851,0.0015906460143601286,4.188298818703366e-05,0.026330803842539406,0.0010839886785606711,0.00010052292606648298,0.09273429515883702
100,0.0054331556335843936,0.0023936442752548457,5.750289874313469e-05,0.024023159722433064,0.0016147389100735733,0.00011827372743427308,0.0732463475651826
100,0.00846906990048226,0.0035702575079928924,7.58502808374607e-05,0.021245044837144473,0.002390437337460303,0.0001591844494082196,0.06659218667381743
100,0.01320137868606126,0.005262661964302775,0.00013087320419915606,0.02486825205321635,0.003470424655622263,0.00024138471832052167,0.06955480734309165
100,0.02057798568918039,0.007794268012725777,0.000268819455894792,0.034489378021885814,0.004981122289970326,0.00039541397323732943,0.07938250663580577
100,0.03207645997392824,0.011577984143505611,0.00045799044239428144,0.039557010677992686,0.007195350799546169,0.0007515544881919001,0.1044500135058464
100,0.05,0.01714196209230532,0.0008697072212366198,0.050735570207976005,0.009540312810177842,0.0018323764469878596,0.19206670509095206
100,0.0001,4.861856230999884e-05,1.7521404933701025e-05,0.360385089587431,8.74622652426349e-05,4.368433610336244e-05,0.49946495191011586
100,0.00015587755020547784,7.723036834402785e-05,1.5126549086579565e-05,0.19586270803730133,9.131351044917579e-05,4.7949835994981504e-05,0.5251121740815113
100,0.00024297810658061288,0.00011657881536531468,1.8370461370498082e-05,0.15757975677597927,0.00010681487366687726,5.078427589215363e-05,0.47544198807493954
100,0.0003787483200735143,0.00018377876660874093,2.0379593615712472e-05,0.11089199253959502,0.0001417826149458923,5.412664217319461e-05,0.3817579623132967
100,0.0005903836027749967,0.00028559580809111917,2.0096042019165283e-05,0.07036532557492459,0.0001763090920472299,5.7737194259863525e-05,0.3274771232126634
100,0.0009202754968205042,0.0004456541293618288,2.6134416677684063e-05,0.05864282401042312,0.00029062033569027365,7.675648471817969e-05,0.26411257331965343
100,0.0014345028995850922,0.0006879536369415352,3.3114616785880096e-05,0.0481349541708932,0.00045694948813896795,8.40249695852192e-05,0.18388240224850724
100,0.0022360679774997894,0.0010530380836776343,3.721232407240064e-05,0.035338061034260196,0.00070036967499847,8.114750518497064e-05,0.11586381889699594
100,0.003485527984255851,0.0015964678324942106,4.4273900080521266e-05,0.027732409748181894,0.0010709084635077526,0.00010686781687362837,0.09979173805722259
100,0.0054331556335843936,0.002405134486031213,5.9133310480232356e-05,0.024586280236582558,0.0015916501245548066,0.00011982866914212392,0.07528581017492186
100,0.00846906990048226,0.003550348925479269,7.783451816365154e-05,0.02192306159123346,0.002364212205113414,0.0001604859989024914,0.06788138499386213
100,0.01320137868606126,0.005249164045268872,0.00014683532487066105,0.02797308744865867,0.003431774908050725,0.00021838381244027925,0.0636358206151472
100,0.02057798568918039,0.007809703419043725,0.00026796981745509917,0.034312419188885314,0.004997253335346194,0.0004114691668507404,0.08233906493000222
100,0.03207645997392824,0.01157408997453301,0.00048491725191671765,0.041896793007804745,0.007079447394017049,0.0007279024148008996,0.10281910074168518
100,0.05,0.017051747180369482,0.0008461818934502713,0.04962435136408913,0.010243317045564528,0.0024056635720023987,0.23485200753832747
100,0.0001,4.8846760143539394e-05,1.6527313179334343e-05,0.33835024330718666,9.633911338881696e-05,4.438978684121626e-05,0.46076598880521796
100,0.00015587755020547784,7.701237002979977e-05,1.707944236298807e-05,0.22177531163343261,9.642847885354521e-05,4.440019005711317e-05,0.46044685745326147
100,0.00024297810658061288,0.00011779124618676472,1.765075528062597e-05,0.1498477675721309,0.00010350630244248205,5.1657553201787164e-05,0.4990764038788171
100,0.0003787483200735143,0.00018591470369524687,1.9340982231335503e-05,0.10403148243206962,0.0001394374946807675,5.500294603215813e-05,0.39446309730452034
100,0.0005903836027749967,0.00028709067211002523,2.1095367534901575e-05,0.0734798082426619,0.00018924268409761024,6.489494722244582e-05,0.34291918618620626
100,0.0009202754968205042,0.0004475027110980112,2.5219243577272315e-05,0.05635551014963314,0.0002734645237580502,6.635445327334618e-05,0.2426437344101489
100,0.0014345028995850922,0.0006874990608858477,3.00331942765255e-05,0.0436847058930197,0.0004477994451116929,7.038930597739459e-05,0.1571893550690704
100,0.0022360679774997894,0.0010417385354640062,3.349594629132092e-05,0.03215389001271928,0.0007078264461540785,7.46772762624678e-05,0.10550224093521955
